City,State,lat,lon
Banglore,karnataka,12.9716,77.5946
Chennai,Tamilnadu,13.0827,80.2707
Thiruvanathupuram,kerala,8.5241,76.9366
Irinjalakuda,kerala,10.3469,76.2074
Kannur,kerala,11.8745,75.3704
